Date_of_report,Municipality_code,Municipality_name,Province,Total_reported,Hospital_admission,Deceased
2020-10-05 10:00:00,GM0867,Waalwijk,Noord-Brabant,364,39,37
2020-10-05 10:00:00,GM0873,Woensdrecht,Noord-Brabant,131,6,7
2020-10-05 10:00:00,GM0879,Zundert,Noord-Brabant,162,24,11
2020-10-05 10:00:00,GM0880,Wormerland,Noord-Holland,92,20,6
2020-10-05 10:00:00,GM0882,Landgraaf,Limburg,191,52,14
2020-10-05 10:00:00,GM0888,Beek,Limburg,61,16,6
2020-10-05 10:00:00,GM0889,Beesel,Limburg,60,20,8
2020-10-05 10:00:00,GM0893,Bergen (L.),Limburg,60,7,2
2020-10-05 10:00:00,GM0899,Brunssum,Limburg,177,46,19
2020-10-05 10:00:00,GM0907,Gennep,Limburg,116,17,10
2020-10-05 10:00:00,GM0917,Heerlen,Limburg,563,126,54
2020-10-05 10:00:00,GM0928,Kerkrade,Limburg,291,64,35
2020-10-05 10:00:00,GM0935,Maastricht,Limburg,1240,193,140
2020-10-05 10:00:00,GM0938,Meerssen,Limburg,146,22,13
2020-10-05 10:00:00,GM0944,Mook en Middelaar,Limburg,80,7,5
2020-10-05 10:00:00,GM0946,Nederweert,Limburg,95,31,7
2020-10-05 10:00:00,GM0957,Roermond,Limburg,285,61,23
2020-10-05 10:00:00,GM0965,Simpelveld,Limburg,57,19,5
2020-10-05 10:00:00,GM0971,Stein,Limburg,149,44,15
2020-10-05 10:00:00,GM0981,Vaals,Limburg,37,10,2
2020-10-05 10:00:00,GM0983,Venlo,Limburg,703,135,67
2020-10-05 10:00:00,GM0984,Venray,Limburg,266,37,17
2020-10-05 10:00:00,GM0986,Voerendaal,Limburg,63,17,8
2020-10-05 10:00:00,GM0988,Weert,Limburg,248,68,15
2020-10-05 10:00:00,GM0994,Valkenburg aan de Geul,Limburg,108,19,7
2020-10-05 10:00:00,GM0995,Lelystad,Flevoland,447,70,31
2020-10-05 10:00:00,GM1507,Horst aan de Maas,Limburg,237,41,25
2020-10-05 10:00:00,GM1509,Oude IJsselstreek,Gelderland,178,21,9
2020-10-05 10:00:00,GM1525,Teylingen,Zuid-Holland,256,16,2
2020-10-05 10:00:00,GM1581,Utrechtse Heuvelrug,Utrecht,313,29,14
2020-10-05 10:00:00,GM1586,Oost Gelre,Gelderland,169,18,6
2020-10-05 10:00:00,GM1598,Koggenland,Noord-Holland,123,7,7
2020-10-05 10:00:00,GM1621,Lansingerland,Zuid-Holland,641,44,26
2020-10-05 10:00:00,GM1640,Leudal,Limburg,234,54,33
2020-10-05 10:00:00,GM1641,Maasgouw,Limburg,145,28,15
2020-10-05 10:00:00,GM1652,Gemert-Bakel,Noord-Brabant,287,79,32
2020-10-05 10:00:00,GM1655,Halderberge,Noord-Brabant,200,16,8
2020-10-05 10:00:00,GM1658,Heeze-Leende,Noord-Brabant,106,16,8
2020-10-05 10:00:00,GM1659,Laarbeek,Noord-Brabant,174,41,26
2020-10-05 10:00:00,GM1667,Reusel-De Mierden,Noord-Brabant,157,11,2
2020-10-05 10:00:00,GM1669,Roerdalen,Limburg,74,27,8
2020-10-05 10:00:00,GM1674,Roosendaal,Noord-Brabant,573,35,24
2020-10-05 10:00:00,GM1676,Schouwen-Duiveland,Zeeland,158,12,9
2020-10-05 10:00:00,GM1680,Aa en Hunze,Drenthe,62,1,0
2020-10-05 10:00:00,GM1681,Borger-Odoorn,Drenthe,47,4,3
2020-10-05 10:00:00,GM1684,Cuijk,Noord-Brabant,149,12,10
2020-10-05 10:00:00,GM1685,Landerd,Noord-Brabant,197,42,21
2020-10-05 10:00:00,GM1690,De Wolden,Drenthe,74,11,5
2020-10-05 10:00:00,GM1695,Noord-Beveland,Zeeland,25,1,0
2020-10-05 10:00:00,GM1696,Wijdemeren,Noord-Holland,149,8,0
2020-10-05 10:00:00,GM1699,Noordenveld,Drenthe,104,4,8
2020-10-05 10:00:00,GM1700,Twenterand,Overijssel,86,12,2
2020-10-05 10:00:00,GM1701,Westerveld,Drenthe,52,9,4
2020-10-05 10:00:00,GM1702,Sint Anthonis,Noord-Brabant,97,20,11
2020-10-05 10:00:00,GM1705,Lingewaard,Gelderland,296,35,10
2020-10-05 10:00:00,GM1706,Cranendonck,Noord-Brabant,241,63,36
2020-10-05 10:00:00,GM1708,Steenwijkerland,Overijssel,185,14,8
2020-10-05 10:00:00,GM1709,Moerdijk,Noord-Brabant,200,16,8
2020-10-05 10:00:00,GM1711,Echt-Susteren,Limburg,122,40,18
2020-10-05 10:00:00,GM1714,Sluis,Zeeland,36,9,4
2020-10-05 10:00:00,GM1719,Drimmelen,Noord-Brabant,146,19,8
2020-10-05 10:00:00,GM1721,Bernheze,Noord-Brabant,373,95,65
2020-10-05 10:00:00,GM1723,Alphen-Chaam,Noord-Brabant,84,18,5
2020-10-05 10:00:00,GM1724,Bergeijk,Noord-Brabant,197,19,5
2020-10-05 10:00:00,GM1728,Bladel,Noord-Brabant,265,21,9
2020-10-05 10:00:00,GM1729,Gulpen-Wittem,Limburg,110,22,15
2020-10-05 10:00:00,GM1730,Tynaarlo,Drenthe,95,9,0
2020-10-05 10:00:00,GM1731,Midden-Drenthe,Drenthe,57,6,0
2020-10-05 10:00:00,GM1734,Overbetuwe,Gelderland,303,56,16
2020-10-05 10:00:00,GM1735,Hof van Twente,Overijssel,155,15,5
2020-10-05 10:00:00,GM1740,Neder-Betuwe,Gelderland,175,38,21
2020-10-05 10:00:00,GM1742,Rijssen-Holten,Overijssel,274,29,24
2020-10-05 10:00:00,GM1771,Geldrop-Mierlo,Noord-Brabant,224,33,16
