Gemeentecode,Aantal,Gemeente,Provinciecode,Provincie,Datum
1702,14,Sint Anthonis,30,Noord-Brabant,2020-04-02
845,15,Sint-Michielsgestel,30,Noord-Brabant,2020-04-02
1883,55,Sittard-Geleen,31,Limburg,2020-04-02
610,2,Sliedrecht,28,Zuid-Holland,2020-04-02
1714,4,Sluis,29,Zeeland,2020-04-02
90,5,Smallingerland,21,Friesland,2020-04-02
342,10,Soest,26,Utrecht,2020-04-02
847,14,Someren,30,Noord-Brabant,2020-04-02
848,19,Son en Breugel,30,Noord-Brabant,2020-04-02
37,0,Stadskanaal,20,Groningen,2020-04-02
180,1,Staphorst,23,Overijssel,2020-04-02
532,11,Stede Broec,27,Noord-Holland,2020-04-02
851,7,Steenbergen,30,Noord-Brabant,2020-04-02
1708,7,Steenwijkerland,23,Overijssel,2020-04-02
971,24,Stein,31,Limburg,2020-04-02
1904,18,Stichtse Vecht,26,Utrecht,2020-04-02
1900,13,Súdwest-Fryslân,21,Friesland,2020-04-02
715,14,Terneuzen,29,Zeeland,2020-04-02
93,0,Terschelling,21,Friesland,2020-04-02
448,2,Texel,27,Noord-Holland,2020-04-02
1525,7,Teylingen,28,Zuid-Holland,2020-04-02
716,25,Tholen,29,Zeeland,2020-04-02
281,21,Tiel,25,Gelderland,2020-04-02
855,124,Tilburg,30,Noord-Brabant,2020-04-02
183,8,Tubbergen,23,Overijssel,2020-04-02
1700,6,Twenterand,23,Overijssel,2020-04-02
1730,5,Tynaarlo,22,Drenthe,2020-04-02
737,3,Tytsjerksteradiel,21,Friesland,2020-04-02
856,77,Uden,30,Noord-Brabant,2020-04-02
450,3,Uitgeest,27,Noord-Holland,2020-04-02
451,9,Uithoorn,27,Noord-Holland,2020-04-02
184,12,Urk,24,Flevoland,2020-04-02
344,90,Utrecht,26,Utrecht,2020-04-02
1581,11,Utrechtse Heuvelrug,26,Utrecht,2020-04-02
981,6,Vaals,31,Limburg,2020-04-02
994,3,Valkenburg aan de Geul,31,Limburg,2020-04-02
858,8,Valkenswaard,30,Noord-Brabant,2020-04-02
47,1,Veendam,20,Groningen,2020-04-02
345,7,Veenendaal,26,Utrecht,2020-04-02
717,3,Veere,29,Zeeland,2020-04-02
861,9,Veldhoven,30,Noord-Brabant,2020-04-02
453,16,Velsen,27,Noord-Holland,2020-04-02
983,72,Venlo,31,Limburg,2020-04-02
984,23,Venray,31,Limburg,2020-04-02
1961,12,Vijfheerenlanden,26,Utrecht,2020-04-02
622,16,Vlaardingen,28,Zuid-Holland,2020-04-02
96,0,Vlieland,21,Friesland,2020-04-02
718,6,Vlissingen,29,Zeeland,2020-04-02
986,7,Voerendaal,31,Limburg,2020-04-02
626,5,Voorschoten,28,Zuid-Holland,2020-04-02
285,6,Voorst,25,Gelderland,2020-04-02
865,25,Vught,30,Noord-Brabant,2020-04-02
1949,4,Waadhoeke,21,Friesland,2020-04-02
866,1,Waalre,30,Noord-Brabant,2020-04-02
867,15,Waalwijk,30,Noord-Brabant,2020-04-02
627,6,Waddinxveen,28,Zuid-Holland,2020-04-02
289,6,Wageningen,25,Gelderland,2020-04-02
629,2,Wassenaar,28,Zuid-Holland,2020-04-02
852,8,Waterland,27,Noord-Holland,2020-04-02
988,31,Weert,31,Limburg,2020-04-02
457,5,Weesp,27,Noord-Holland,2020-04-02
1960,15,West Betuwe,25,Gelderland,2020-04-02
668,9,West Maas en Waal,25,Gelderland,2020-04-02
1969,10,Westerkwartier,20,Groningen,2020-04-02
1701,2,Westerveld,22,Drenthe,2020-04-02
293,3,Westervoort,25,Gelderland,2020-04-02
1950,4,Westerwolde,20,Groningen,2020-04-02
1783,28,Westland,28,Zuid-Holland,2020-04-02
98,2,Weststellingwerf,21,Friesland,2020-04-02
614,4,Westvoorne,28,Zuid-Holland,2020-04-02
189,2,Wierden,23,Overijssel,2020-04-02
296,31,Wijchen,25,Gelderland,2020-04-02
1696,5,Wijdemeren,27,Noord-Holland,2020-04-02
352,7,Wijk bij Duurstede,26,Utrecht,2020-04-02
294,1,Winterswijk,25,Gelderland,2020-04-02
873,4,Woensdrecht,30,Noord-Brabant,2020-04-02
632,26,Woerden,26,Utrecht,2020-04-02
880,10,Wormerland,27,Noord-Holland,2020-04-02
351,2,Woudenberg,26,Utrecht,2020-04-02
479,35,Zaanstad,27,Noord-Holland,2020-04-02
297,10,Zaltbommel,25,Gelderland,2020-04-02
473,6,Zandvoort,27,Noord-Holland,2020-04-02
50,5,Zeewolde,24,Flevoland,2020-04-02
355,15,Zeist,26,Utrecht,2020-04-02
299,20,Zevenaar,25,Gelderland,2020-04-02
637,23,Zoetermeer,28,Zuid-Holland,2020-04-02
638,2,Zoeterwoude,28,Zuid-Holland,2020-04-02
1892,10,Zuidplas,28,Zuid-Holland,2020-04-02
879,14,Zundert,30,Noord-Brabant,2020-04-02
301,9,Zutphen,25,Gelderland,2020-04-02
1896,21,Zwartewaterland,23,Overijssel,2020-04-02
642,9,Zwijndrecht,28,Zuid-Holland,2020-04-02
193,33,Zwolle,23,Overijssel,2020-04-02
